photo,eyebrow_distance,eye_space,nose_length,eyebrow_height,orbicular,eye_nose_width,mouth_width_place,two_axis_proportion,sup_lip,lips_relation,avenger_name
face_74956_0.png,142,48,61,40.5,0.5833333333333334,48.0,0.5070422535211268,0.8660714285714286,1.4,1.05,Nick Fury
face_140756_0.png,23,8,10,7.5,0.5,4.0,0.7272727272727273,1.0,8.0,1.1428571428571428,Nick Fury
face_80003_0.png,144,49,73,40.5,0.6363636363636364,5.444444444444445,0.4852941176470588,0.9298245614035088,0.65,0.9285714285714286,Nick Fury
face_79779_0.png,118,39,46,32.5,0.5428571428571428,9.75,0.6140350877192983,0.8709677419354839,1.9166666666666667,1.5333333333333334,Nick Fury
face_28469_0.png,226,73,100,67.5,0.5238095238095238,3.8421052631578947,0.5833333333333334,0.9367816091954023,1.032258064516129,0.8888888888888888,Nick Fury
face_28532_0.png,238,75,104,64.5,0.5636363636363636,3.75,0.49107142857142855,0.8641304347826086,0.71875,0.71875,Nick Fury
face_190008_3.png,75,24,31,15.5,0.75,12.0,0.3,0.7543859649122807,0.5,0.4,Nick Fury
face_29274_0.png,187,63,89,67.0,0.43283582089552236,1.75,0.7613636363636364,1.0758620689655172,1.68,0.84,Nick Fury
face_3332_2.png,92,31,33,20.5,0.7,31.0,0.46511627906976744,0.726027397260274,0.8181818181818182,0.9,Nick Fury
face_7539_1.png,85,27,35,21.0,0.75,27.0,0.37209302325581395,0.7611940298507462,1.2857142857142858,1.0,Nick Fury
face_129234_0.png,103,32,43,25.0,0.6111111111111112,32.0,0.3333333333333333,0.7625,0.6363636363636364,0.5,Nick Fury
face_28462_0.png,220,70,97,67.0,0.5076923076923077,2.9166666666666665,0.625,0.9473684210526315,1.1666666666666667,1.0606060606060606,Nick Fury
face_103705_2.png,136,47,51,29.0,0.6071428571428571,47.0,0.4307692307692308,0.7383177570093458,0.6470588235294118,0.5789473684210527,Nick Fury
face_28483_0.png,217,79,89,61.0,0.53125,6.583333333333333,0.6597938144329897,0.9,1.0,1.032258064516129,Nick Fury
face_190211_0.png,100,31,40,22.5,0.6,10.333333333333334,0.38461538461538464,0.7792207792207793,1.0,0.5555555555555556,Nick Fury
face_28847_0.png,175,60,85,57.0,0.4838709677419355,2.608695652173913,0.6458333333333334,1.0970149253731343,1.5833333333333333,0.8636363636363636,Nick Fury
face_80017_0.png,139,46,61,35.0,0.5526315789473685,6.571428571428571,0.5352112676056338,0.9428571428571428,0.9,1.3846153846153846,Nick Fury
face_140763_0.png,23,8,10,7.5,0.5,4.0,0.7272727272727273,1.0,8.0,1.1428571428571428,Nick Fury
face_103719_2.png,136,46,53,34.0,0.5666666666666667,46.0,0.4838709677419355,0.7757009345794392,0.6666666666666666,0.6666666666666666,Nick Fury
face_103894_2.png,135,46,54,34.0,0.6551724137931034,46.0,0.453125,0.7757009345794392,0.8125,0.8125,Nick Fury
face_80010_0.png,139,43,63,37.0,0.6571428571428571,7.166666666666667,0.4794520547945205,0.9245283018867925,1.3333333333333333,1.25,Nick Fury
face_79765_0.png,110,37,42,25.5,0.5925925925925926,12.333333333333334,0.5625,0.8023255813953488,1.4545454545454546,0.9411764705882353,Nick Fury
face_171290_0.png,93,29,38,24.5,0.9411764705882353,5.8,0.3617021276595745,0.7746478873239436,0.7,0.6363636363636364,Nick Fury
face_74949_0.png,144,47,60,44.5,0.6,11.75,0.5303030303030303,0.8333333333333334,0.9444444444444444,0.9444444444444444,Nick Fury
face_7973_0.png,103,38,47,28.5,0.6060606060606061,38.0,0.5892857142857143,1.0126582278481013,1.5384615384615385,1.4285714285714286,Nick Fury
face_103712_2.png,134,48,50,29.0,0.5333333333333333,48.0,0.4838709677419355,0.7476635514018691,0.6666666666666666,0.6666666666666666,Nick Fury
face_74963_0.png,164,52,67,47.0,0.5121951219512195,13.0,0.5857142857142857,0.864,0.782608695652174,1.125,Nick Fury
face_189455_0.png,260,89,120,66.0,0.5268817204301075,3.0689655172413794,0.7209302325581395,1.0492610837438423,0.9787234042553191,1.3142857142857143,Nick Fury
face_108885_0.png,186,65,64,41.0,0.6,32.5,0.5681818181818182,0.8028169014084507,1.0,1.0869565217391304,Nick Fury
face_140749_0.png,23,7,10,7.5,0.5,3.5,0.7272727272727273,1.0,8.0,1.1428571428571428,Nick Fury
face_99400_1.png,85,29,39,23.5,0.5,7.25,0.5365853658536586,0.9242424242424242,1.0,0.8461538461538461,Nick Fury
